frame,fps,particle_count
0,34.563076,0
1,20.017246,1
2,19.289026,2
3,18.213293,2
4,18.274841,2
5,18.389462,2
6,18.182678,2
7,18.293777,2
8,18.04719,2
9,17.88986,2
10,18.066317,2
11,18.298946,2
12,18.493568,2
13,17.886198,2
14,17.935547,2
15,18.110418,3
16,18.211502,3
17,18.369047,3
18,18.573536,3
19,18.61612,4
20,18.468998,5
21,18.341047,5
22,18.07372,6
23,17.935194,6
24,17.77653,6
25,17.632004,6
26,17.52401,6
27,17.409452,6
28,17.321785,6
29,17.27091,6
30,17.230509,6
31,17.11968,6
32,17.041405,6
33,17.007961,6
34,16.993885,6
35,16.923794,6
36,16.894297,6
37,16.922781,6
38,16.901247,6
39,16.867956,6
40,16.875282,6
41,16.868208,6
42,16.878183,6
43,16.88633,6
44,16.895401,6
45,16.871307,6
46,16.872269,6
47,16.86955,6
48,16.857061,6
49,16.686085,7
50,16.585346,7
51,16.42034,7
52,16.291994,7
53,16.219057,7
54,16.134285,7
55,16.090675,7
56,16.037493,7
57,15.851305,8
58,15.753866,8
59,15.655158,8
60,15.529173,8
61,15.399606,8
62,15.303139,8
63,15.247933,8
64,15.18949,8
65,15.134468,8
66,15.07065,8
67,15.007248,8
68,14.942677,8
69,14.851146,8
70,14.794624,8
71,14.748778,8
72,14.626175,9
73,14.524492,9
74,14.390806,9
75,14.309011,9
76,14.234307,9
77,14.0777235,9
78,13.96774,9
79,13.88014,9
80,13.8229,9
81,13.772609,9
82,13.721795,9
83,13.62732,9
84,13.594467,9
85,13.557842,9
86,13.503127,9
87,13.445904,9
88,13.351946,9
89,13.3172245,9
90,13.256894,9
91,13.172186,10
92,13.074583,10
93,12.916134,11
94,12.7073,11
95,12.5895605,11
96,12.485813,11
97,12.300371,12
98,12.070516,13
99,11.866064,14
100,11.678822,14
101,11.508215,14
102,11.354928,14
103,11.195355,14
104,11.051789,14
105,10.891943,14
106,10.775236,14
107,10.636345,14
108,10.476789,15
109,10.345538,15
110,10.223988,15
111,10.11946,15
112,9.978878,15
113,9.897399,15
114,9.769283,15
115,9.6365595,15
116,9.572004,15
117,9.512645,15
118,9.444839,15
119,9.393017,15
120,9.320448,15
121,9.28487,15
122,9.210435,16
123,9.137218,16
124,9.049765,16
125,8.99492,16
126,8.922628,16
127,8.846474,16
128,8.75982,17
129,8.702708,17
130,8.656566,17
131,8.610365,17
132,8.562805,17
133,8.513266,17
134,8.459598,17
135,8.35944,19
136,8.255083,19
137,8.134404,19
138,8.03228,19
139,7.9744916,19
140,7.9074593,19
141,7.8356023,19
142,7.735479,20
143,7.643031,21
144,7.5168595,21
145,7.42847,21
146,7.3354793,22
147,7.243375,22
148,7.15404,22
149,7.0827007,22
150,7.0286865,22
151,6.9505677,23
152,6.887068,23
153,6.824324,23
154,6.746262,23
155,6.7042904,23
156,6.6332984,24
157,6.5228696,24
158,6.453608,24
159,6.4121222,24
160,6.3543663,24
161,6.311104,24
162,6.2781334,24
163,6.246799,24
164,6.2203646,24
165,6.1633487,25
166,6.1151943,26
167,6.0678353,26
168,6.0336223,26
169,5.992113,26
170,5.9454865,27
171,5.9024987,27
172,5.869025,27
173,5.835218,27
174,5.7836585,29
175,5.7006626,30
176,5.6377015,30
177,5.588263,30
178,5.527606,30
179,5.474757,30
180,5.3906918,30
181,5.332827,30
182,5.238255,31
183,5.1776304,31
184,5.142412,31
185,5.0173397,31
186,4.9684525,32
187,4.868191,32
188,4.7424197,32
189,4.6448226,33
190,4.581877,34
191,4.558293,34
192,4.5274673,34
193,4.4911785,34
194,4.474782,34
195,4.456285,34
196,4.431438,35
197,4.396462,36
198,4.3575788,37
199,4.322024,38
200,4.2756257,38
201,4.22491,38
202,4.1665072,39
203,4.1133747,39
204,4.033176,39
205,3.9980068,39
206,3.9703798,39
207,3.9315968,39
208,3.9044514,40
209,3.856472,41
210,3.8170962,41
211,3.7758086,42
212,3.7164478,42
213,3.694296,42
214,3.669514,43
215,3.6305497,43
216,3.5870576,44
217,3.553181,45
218,3.5287764,45
219,3.484591,46
220,3.4653847,46
221,3.4304736,46
222,3.4147184,47
223,3.3968954,47
224,3.3670409,48
225,3.338733,49
226,3.3231933,49
227,3.299146,49
228,3.2797375,49
229,3.2620833,50
230,3.245173,50
231,3.2284324,50
232,3.1994722,51
233,3.1577728,52
234,3.1282043,54
235,3.1058702,54
236,3.078868,54
237,3.0504322,54
238,3.034758,54
239,3.0167267,55
240,2.9991376,56
241,2.9790924,57
242,2.9491577,57
243,2.9296901,57
244,2.9100468,58
245,2.8921156,58
246,2.876028,58
247,2.8618536,58
248,2.839173,59
249,2.8117876,61
250,2.7711968,62
251,2.7445724,62
252,2.720759,62
253,2.6964731,64
254,2.671859,64
255,2.6514459,64
256,2.6320393,64
257,2.6103344,65
258,2.588399,66
259,2.5687678,66
260,2.5509274,66
261,2.532189,68
262,2.5105975,69
263,2.493298,69
264,2.4741461,69
265,2.4558332,71
266,2.4364686,72
267,2.4137788,72
268,2.3949022,72
269,2.378547,73
270,2.3642132,73
271,2.3497071,73
272,2.3366683,73
273,2.3208191,75
274,2.3014832,77
275,2.2848682,77
276,2.26687,78
277,2.2459424,79
278,2.2294102,79
279,2.2132175,79
280,2.1986341,79
281,2.1827383,81
282,2.166483,81
283,2.151837,81
284,2.1341302,82
