frame,fps,particle_count
0,35.497387,0
1,24.436735,1
2,23.49432,1
3,23.08597,2
4,22.928755,2
5,22.838251,2
6,22.768198,2
7,22.70675,2
8,22.715448,2
9,22.772898,2
10,22.902355,2
11,23.640017,2
12,24.362516,2
13,25.058712,2
14,25.817074,2
15,26.51776,2
16,27.28371,2
17,28.00077,2
18,28.762247,2
19,29.543266,2
20,30.326008,2
21,31.04577,2
22,31.773302,2
23,32.49615,2
24,33.25103,2
25,33.984917,2
26,34.676693,2
27,35.40502,2
28,36.157703,2
29,36.88661,2
30,37.522686,2
31,38.180973,2
32,38.828545,2
33,39.5269,2
34,40.0893,2
35,40.574978,2
36,41.258755,2
37,41.815674,2
38,42.452133,2
39,43.066723,3
40,43.559063,3
41,44.163826,3
42,44.678703,3
43,45.34093,3
44,45.823086,3
45,46.50998,3
46,46.957565,3
47,47.482082,3
48,47.898167,3
49,48.41127,3
50,48.834454,3
51,49.188076,4
52,49.501667,4
53,49.834904,5
54,50.014027,5
55,50.40001,5
56,50.798782,5
57,51.31895,5
58,51.49879,5
59,51.660877,5
60,52.059845,5
61,52.43079,5
62,52.768738,5
63,53.045868,6
64,53.411903,6
65,53.687325,6
66,53.96603,6
67,54.204704,6
68,54.526176,6
69,54.94571,6
70,55.169624,6
71,55.48878,6
72,55.648647,6
73,55.843784,6
74,56.0753,6
75,56.200325,6
76,56.371605,6
77,56.462402,6
78,56.706646,6
79,56.613846,6
80,56.838326,6
81,56.986515,6
82,57.069687,6
83,57.344337,6
84,57.466427,6
85,57.332794,6
86,57.46822,6
87,57.497673,6
88,57.609997,6
89,57.335175,6
90,57.338684,6
91,57.31052,6
92,57.622612,6
93,57.57113,6
94,57.30928,6
95,57.137447,6
96,57.15967,6
97,57.343296,6
98,57.37625,6
99,57.561634,6
100,57.9008,6
101,58.142754,6
102,58.06405,6
103,57.976837,6
104,58.037132,6
105,57.94201,6
106,57.85184,6
107,57.842373,6
108,57.732925,6
109,57.76912,6
110,57.80175,6
111,57.80558,6
112,57.984344,6
113,58.119186,6
114,58.20339,6
115,58.292603,6
116,58.374428,6
117,58.244705,6
118,58.431644,6
119,58.49962,6
120,58.45591,6
121,58.574802,6
122,58.3436,6
123,58.492043,6
124,58.50518,6
125,58.70371,6
126,58.866844,6
127,58.976707,6
128,59.00623,6
129,59.07595,6
130,59.11876,6
131,59.155132,6
132,59.17339,6
133,59.218517,6
134,59.32121,6
135,59.262222,6
136,59.40486,6
137,59.34061,6
138,59.370045,6
139,59.28775,6
140,59.313835,6
141,59.46961,6
142,59.51752,6
143,59.50889,6
144,59.40039,6
145,59.570328,6
146,59.612953,6
147,59.30999,6
148,59.048492,6
149,58.954475,6
150,58.644955,6
151,58.528934,6
152,58.692207,6
153,58.7258,6
154,58.720867,6
155,58.934494,6
156,58.86629,6
157,58.873318,6
158,59.063633,6
159,58.9927,7
160,59.127934,7
161,59.20132,7
162,59.062023,7
163,58.846172,7
164,58.815365,7
165,58.96184,7
166,58.680454,7
167,58.714252,7
168,58.814293,7
169,58.936184,7
170,58.660065,7
171,58.71276,7
172,58.753536,7
173,58.651215,7
174,58.478905,7
175,58.51342,7
176,58.534607,7
177,58.72447,7
178,58.786507,7
179,58.83247,7
180,58.98788,7
181,58.969296,7
182,58.971256,7
183,58.87276,7
184,58.98243,7
185,58.926594,7
186,59.0212,7
187,59.078518,8
188,59.116135,8
189,59.149693,8
190,58.91709,8
191,58.845352,8
192,58.8208,8
193,58.796307,8
194,58.809795,8
195,58.602604,8
196,58.531315,8
197,58.356064,8
198,58.415386,8
199,58.501144,8
200,58.3292,8
201,58.358994,8
202,58.30423,8
203,58.048496,8
204,57.806293,8
205,57.73474,8
206,57.91111,8
207,57.982815,8
208,58.07194,8
209,58.05277,8
210,58.010098,8
211,58.035732,8
212,58.161835,8
213,58.212784,8
214,58.31613,8
215,58.38987,8
216,58.440056,8
217,58.72683,8
218,58.809284,8
219,58.90168,8
220,58.940975,8
221,58.983963,8
222,59.017334,8
223,59.073444,8
224,59.090637,8
225,59.27966,8
226,59.30718,8
227,59.23539,8
228,59.36525,8
229,59.330555,8
230,59.197952,8
231,59.405724,8
232,59.40246,8
233,59.331562,8
234,59.320736,8
235,59.05321,8
236,59.15576,8
237,59.23178,8
238,59.255047,8
239,59.18199,8
240,59.350708,8
241,59.536274,8
242,59.560497,8
243,59.400642,8
244,59.323612,8
245,59.471497,8
246,59.689697,8
247,59.71659,8
248,59.719612,8
249,59.750965,8
250,59.45091,8
251,59.802647,8
252,59.353706,8
253,59.896603,8
254,59.76008,9
255,60.122368,9
256,60.197765,9
257,60.019768,9
258,60.075947,9
259,59.87708,9
260,59.93663,9
261,60.01088,9
262,60.087345,9
263,59.981075,9
264,60.081333,9
265,59.761784,9
266,59.810375,9
267,59.895744,9
268,59.85478,9
269,59.818535,9
270,59.590538,9
271,59.605873,9
272,59.656075,9
273,59.685448,9
274,59.668827,9
275,59.78874,9
276,59.939327,9
277,59.934673,9
278,59.95875,9
279,60.076374,9
280,60.140083,9
281,59.91396,9
282,59.8351,9
283,59.694622,9
284,59.836765,9
285,59.834522,9
286,59.838913,9
287,59.468147,9
288,59.51579,9
289,59.382484,9
290,59.41669,9
291,59.527233,9
292,59.59415,9
293,59.45289,9
294,59.387863,9
295,59.474556,9
296,59.304737,9
297,59.139362,9
298,59.0607,9
299,58.99015,9
300,59.12509,9
301,59.240204,9
302,59.115334,9
303,58.943974,9
304,59.034775,9
305,59.204773,9
306,59.139793,9
307,59.156673,9
308,59.336246,9
309,59.503567,9
310,59.575855,9
311,59.43993,9
312,59.347694,9
313,59.050972,9
314,59.100548,9
315,58.875042,9
316,58.72124,9
317,58.570847,9
318,58.567413,9
319,58.518227,9
320,58.564835,9
321,58.46686,9
322,58.539883,9
323,58.469315,9
324,58.700912,9
325,58.476715,9
326,58.582478,9
327,58.245605,9
328,58.104755,9
329,58.208443,9
330,58.17467,9
331,58.381016,9
332,58.543972,9
333,58.2453,9
334,58.443798,9
335,58.33039,9
336,58.375046,9
337,58.377296,9
338,58.550667,9
339,58.646267,9
340,58.601494,9
341,58.749596,9
342,58.71814,10
343,58.491863,10
344,58.389946,10
345,58.28685,10
346,58.446144,10
347,58.40302,10
348,58.331768,10
349,58.29867,11
350,58.303947,11
351,58.512905,11
352,58.518986,11
353,58.77031,11
354,58.676155,11
355,58.54982,11
356,58.52023,11
357,58.537285,11
358,58.664154,11
359,58.63726,11
360,58.58662,11
361,58.44396,11
362,58.507557,11
363,58.30204,11
364,58.230625,11
365,57.977936,11
366,58.14876,11
367,58.26751,11
368,58.25324,11
369,58.171997,11
370,58.161808,11
371,58.237846,11
372,58.233547,11
373,58.08524,11
374,57.99356,11
375,57.934334,11
376,58.142925,11
377,57.93967,12
378,58.213593,12
379,57.962368,12
380,58.144863,12
381,58.083805,12
382,58.080624,12
383,58.28844,13
384,58.536217,13
385,58.637894,14
386,58.959023,14
387,58.874603,14
388,58.88608,14
389,59.058926,14
390,59.07727,14
391,59.0202,14
392,59.009293,14
393,58.93515,14
394,59.135567,14
395,59.24733,14
396,59.348434,14
397,59.351418,14
398,59.41129,14
399,59.46222,14
400,59.28053,14
401,59.006298,14
402,59.075523,14
403,58.953526,14
404,59.17857,14
